"classification_name","classification_code","company_id"
Value Added Reseller,VAR,1
Independent Software Vendor,ISV,1
Regional Systems Integrator,RSI,1
Managed Service Provider,MSP,2
Independent Software Vendor,ISV,2
Regional Systems Integrator,RSI,2
Regional Systems Integrator,RSI,3
Regional Systems Integrator,RSI,4
Managed Service Provider,MSP,5
Cloud Service Provider,CSP,5
Value Added Reseller,VAR,5
Independent Software Vendor,ISV,5
Regional Systems Integrator,RSI,5
Independent Software Vendor,ISV,6
Managed Service Provider,MSP,7
Cloud Service Provider,CSP,7
Independent Software Vendor,ISV,7
Regional Systems Integrator,RSI,7
Managed Service Provider,MSP,9
Cloud Service Provider,CSP,9
Value Added Reseller,VAR,9
Independent Software Vendor,ISV,9
Independent Software Vendor,ISV,10
Regional Systems Integrator,RSI,14
Regional Systems Integrator,RSI,15
Value Added Reseller,VAR,19
Independent Software Vendor,ISV,19
Independent Software Vendor,ISV,20
Value Added Reseller,VAR,23
Independent Software Vendor,ISV,23
Value Added Reseller,VAR,25
Independent Software Vendor,ISV,25
Regional Systems Integrator,RSI,25
Regional Systems Integrator,RSI,27
Managed Service Provider,MSP,28
Cloud Service Provider,CSP,28
Independent Software Vendor,ISV,28
Regional Systems Integrator,RSI,28
Independent Software Vendor,ISV,29
Regional Systems Integrator,RSI,30
Independent Software Vendor,ISV,32
Independent Software Vendor,ISV,36
Value Added Reseller,VAR,37
Managed Service Provider,MSP,39
Independent Software Vendor,ISV,39
Regional Systems Integrator,RSI,39
Value Added Reseller,VAR,40
Independent Software Vendor,ISV,40
Regional Systems Integrator,RSI,40
Regional Systems Integrator,RSI,41
Independent Software Vendor,ISV,42
Value Added Reseller,VAR,43
Independent Software Vendor,ISV,43
Independent Software Vendor,ISV,44
Independent Software Vendor,ISV,45
Independent Software Vendor,ISV,46
Regional Systems Integrator,RSI,50
Independent Software Vendor,ISV,52
Regional Systems Integrator,RSI,53
Regional Systems Integrator,RSI,55
Independent Software Vendor,ISV,57
Regional Systems Integrator,RSI,60
Managed Service Provider,MSP,64
Independent Software Vendor,ISV,64
Value Added Reseller,VAR,65
Independent Software Vendor,ISV,65
Value Added Reseller,VAR,66
Independent Software Vendor,ISV,66
Independent Software Vendor,ISV,67
Regional Systems Integrator,RSI,68
Regional Systems Integrator,RSI,69
Regional Systems Integrator,RSI,70
Regional Systems Integrator,RSI,71
Regional Systems Integrator,RSI,73
Independent Software Vendor,ISV,81
Value Added Reseller,VAR,83
Independent Software Vendor,ISV,83
Independent Software Vendor,ISV,84
Regional Systems Integrator,RSI,87
Value Added Reseller,VAR,90
Independent Software Vendor,ISV,91
Regional Systems Integrator,RSI,96
Independent Software Vendor,ISV,97
Independent Software Vendor,ISV,98
Regional Systems Integrator,RSI,102
Independent Software Vendor,ISV,103
Regional Systems Integrator,RSI,104
Cloud Service Provider,CSP,105
Managed Service Provider,MSP,107
Value Added Reseller,VAR,107
Independent Software Vendor,ISV,107
Regional Systems Integrator,RSI,107
Regional Systems Integrator,RSI,108
Regional Systems Integrator,RSI,110
Independent Software Vendor,ISV,112
Value Added Reseller,VAR,113
Independent Software Vendor,ISV,113
Regional Systems Integrator,RSI,113
Regional Systems Integrator,RSI,115
Cloud Service Provider,CSP,116
Independent Software Vendor,ISV,116
Regional Systems Integrator,RSI,117
Value Added Reseller,VAR,118
Managed Service Provider,MSP,119
Independent Software Vendor,ISV,119
Regional Systems Integrator,RSI,119
Independent Software Vendor,ISV,120
Independent Software Vendor,ISV,122
Value Added Reseller,VAR,126
Regional Systems Integrator,RSI,128
Regional Systems Integrator,RSI,131
Independent Software Vendor,ISV,132
Regional Systems Integrator,RSI,132
Independent Software Vendor,ISV,133
Independent Software Vendor,ISV,135
Managed Service Provider,MSP,136
Value Added Reseller,VAR,136
Independent Software Vendor,ISV,136
Value Added Reseller,VAR,137
Independent Software Vendor,ISV,137
Regional Systems Integrator,RSI,138
Managed Service Provider,MSP,141
Independent Software Vendor,ISV,141
Regional Systems Integrator,RSI,141
Value Added Reseller,VAR,142
Independent Software Vendor,ISV,144
Independent Software Vendor,ISV,145
Regional Systems Integrator,RSI,147
Regional Systems Integrator,RSI,149
Independent Software Vendor,ISV,150
Independent Software Vendor,ISV,151
Independent Software Vendor,ISV,155
Managed Service Provider,MSP,161
Independent Software Vendor,ISV,161
Regional Systems Integrator,RSI,161
Independent Software Vendor,ISV,162
Managed Service Provider,MSP,163
Independent Software Vendor,ISV,163
Regional Systems Integrator,RSI,163
Value Added Reseller,VAR,164
Independent Software Vendor,ISV,164
Independent Software Vendor,ISV,165
Regional Systems Integrator,RSI,166
Value Added Reseller,VAR,167
Independent Software Vendor,ISV,167
Regional Systems Integrator,RSI,167
Value Added Reseller,VAR,168
Independent Software Vendor,ISV,168
Regional Systems Integrator,RSI,171
Managed Service Provider,MSP,172
Cloud Service Provider,CSP,172
Value Added Reseller,VAR,172
Independent Software Vendor,ISV,172
Regional Systems Integrator,RSI,172
Regional Systems Integrator,RSI,173
Regional Systems Integrator,RSI,178
Independent Software Vendor,ISV,179
Regional Systems Integrator,RSI,182
Regional Systems Integrator,RSI,183
Independent Software Vendor,ISV,185
Regional Systems Integrator,RSI,186
Regional Systems Integrator,RSI,190
Value Added Reseller,VAR,193
Independent Software Vendor,ISV,193
Managed Service Provider,MSP,194
Value Added Reseller,VAR,194
Independent Software Vendor,ISV,194
Regional Systems Integrator,RSI,194
Independent Software Vendor,ISV,198
Managed Service Provider,MSP,199
Cloud Service Provider,CSP,199
Independent Software Vendor,ISV,199
Regional Systems Integrator,RSI,199
Independent Software Vendor,ISV,202
Independent Software Vendor,ISV,203
Value Added Reseller,VAR,205
Independent Software Vendor,ISV,205
Independent Software Vendor,ISV,206
Regional Systems Integrator,RSI,207
Regional Systems Integrator,RSI,208
Regional Systems Integrator,RSI,210
Independent Software Vendor,ISV,211
Managed Service Provider,MSP,214
Independent Software Vendor,ISV,214
Regional Systems Integrator,RSI,214
Independent Software Vendor,ISV,217
Value Added Reseller,VAR,218
Independent Software Vendor,ISV,218
Regional Systems Integrator,RSI,219
Regional Systems Integrator,RSI,220
Independent Software Vendor,ISV,221
Independent Software Vendor,ISV,223
Independent Software Vendor,ISV,225
Value Added Reseller,VAR,226
Independent Software Vendor,ISV,226
Regional Systems Integrator,RSI,226
Value Added Reseller,VAR,229
Independent Software Vendor,ISV,234
Independent Software Vendor,ISV,235
Value Added Reseller,VAR,236
Independent Software Vendor,ISV,236
Regional Systems Integrator,RSI,236
Value Added Reseller,VAR,237
Independent Software Vendor,ISV,237
Independent Software Vendor,ISV,238
Independent Software Vendor,ISV,242
Regional Systems Integrator,RSI,243
Value Added Reseller,VAR,247
Regional Systems Integrator,RSI,248
Independent Software Vendor,ISV,251
Managed Service Provider,MSP,252
Independent Software Vendor,ISV,252
Regional Systems Integrator,RSI,252
Value Added Reseller,VAR,257
Independent Software Vendor,ISV,257
Regional Systems Integrator,RSI,258
Regional Systems Integrator,RSI,259
Independent Software Vendor,ISV,261
Value Added Reseller,VAR,262
Independent Software Vendor,ISV,262
Independent Software Vendor,ISV,263
Independent Software Vendor,ISV,264
Independent Software Vendor,ISV,265
Independent Software Vendor,ISV,266
Independent Software Vendor,ISV,267
Value Added Reseller,VAR,268
Value Added Reseller,VAR,269
Managed Service Provider,MSP,270
Cloud Service Provider,CSP,270
Value Added Reseller,VAR,270
Independent Software Vendor,ISV,270
Regional Systems Integrator,RSI,270
Value Added Reseller,VAR,275
Independent Software Vendor,ISV,275
Managed Service Provider,MSP,276
Cloud Service Provider,CSP,276
Value Added Reseller,VAR,276
Independent Software Vendor,ISV,276
Regional Systems Integrator,RSI,276
Independent Software Vendor,ISV,277
Value Added Reseller,VAR,278
Value Added Reseller,VAR,279
Independent Software Vendor,ISV,279
Independent Software Vendor,ISV,281
Regional Systems Integrator,RSI,283
Independent Software Vendor,ISV,287
Value Added Reseller,VAR,294
Value Added Reseller,VAR,295
Value Added Reseller,VAR,296
Independent Software Vendor,ISV,296
Regional Systems Integrator,RSI,296
Value Added Reseller,VAR,297
Regional Systems Integrator,RSI,298
Regional Systems Integrator,RSI,299
Value Added Reseller,VAR,300
Independent Software Vendor,ISV,300
Value Added Reseller,VAR,301
Value Added Reseller,VAR,302
Independent Software Vendor,ISV,302
Managed Service Provider,MSP,303
Cloud Service Provider,CSP,303
Value Added Reseller,VAR,303
Independent Software Vendor,ISV,303
Regional Systems Integrator,RSI,303
Regional Systems Integrator,RSI,304
Independent Software Vendor,ISV,306
