"parent_industry","industry","company_id"
Telecommunications,Communications Services,1
Insurance,Insurance Carriers,1
Transportation,Transportation,1
Construction,Construction,2
Telecommunications,Communications Services,2
Professional Services,Business Services,3
Utilities,Utilities,5
Professional Services,Software and IT Services,5
Banking,Banking and Financial Services,6
Education,Education,6
Professional Services,Software and IT Services,7
Professional Services,Software and IT Services,9
Retail,Retail,10
Construction,Construction,14
Education,Education,14
Retail,Retail,14
Professional Services,Software and IT Services,19
Retail,Retail,19
Education,Education,25
Retail,Retail,25
Professional Services,Software and IT Services,28
Media,Media,29
Telecommunications,Communications Services,32
Media,Media,36
Education,Education,36
Media,Media,40
Professional Services,Online Properties,40
Banking,Banking and Financial Services,40
Telecommunications,Communications Services,40
Banking,Banking and Financial Services,43
Professional Services,Software and IT Services,43
Telecommunications,Communications Services,43
Education,Education,45
Education,Education,46
Media,Media,52
Education,Education,52
Professional Services,Software and IT Services,64
Professional Services,Software and IT Services,65
Media,Media,67
Retail,Retail,67
Professional Services,Business Services,73
Professional Services,Online Properties,90
Retail,Other Retail,90
Discrete Manufacturing,Other Discrete Manufacturing,90
Transportation,Transportation,103
Education,Education,105
Federal/Central Government,Federal/Central Government,107
Discrete Manufacturing,Other Discrete Manufacturing,107
Utilities,Utilities,113
Professional Services,Business Services,113
Telecommunications,Communications Services,113
Utilities,Utilities,116
Telecommunications,Communications Services,116
Telecommunications,Communications Services,118
Professional Services,Online Properties,119
Professional Services,Software and IT Services,119
Education,Education,119
Education,Education,122
Utilities,Utilities,128
Discrete Manufacturing,Automotive,128
Construction,Construction,128
Education,Education,128
Transportation,Transportation,128
Retail,Retail,128
Telecommunications,Communications Services,132
Construction,Construction,133
Education,Education,133
Transportation,Transportation,135
Telecommunications,Communications Services,137
Insurance,Insurance Carriers,137
Wholesale,Wholesale and Distribution,138
Education,Education,141
Discrete Manufacturing,Automotive,142
Construction,Construction,142
Retail,Retail,142
Transportation,Transportation,145
Banking,Banking and Financial Services,150
Transportation,Transportation,150
Professional Services,Business Services,151
Telecommunications,Communications Services,151
Professional Services,Business Services,161
Education,Education,161
Utilities,Utilities,164
Retail,Other Retail,164
Insurance,Insurance Carriers,164
Telecommunications,Communications Services,167
Healthcare Provider,Health,167
Discrete Manufacturing,Automotive,171
