"partner_id","vendor_id"
1,81430
2,81889
2,81836
3,81476
3,81889
3,82062
4,81614
4,81296
4,81831
5,81889
5,81780
5,81545
5,82039
5,81526
5,81865
5,81421
5,81296
5,81709
5,81560
5,82035
6,81296
7,81889
7,81421
9,81889
9,81430
9,82039
9,81526
10,81476
10,78839
14,81707
14,81421
14,81296
14,81356
15,81903
15,81306
15,81356
15,26416
15,81372
19,81889
19,82039
19,81296
19,81988
19,79331
20,75201
20,81388
20,81421
20,50694
20,52168
23,81430
25,81889
25,81430
25,82039
25,73757
25,81421
25,81869
27,81296
28,81889
29,81430
30,81430
32,25303
32,81421
36,81476
36,81677
36,82039
36,81865
36,81421
36,81691
36,81296
36,81383
36,81356
36,81941
37,81526
39,81526
39,81421
39,81968
40,81430
41,81356
42,81476
42,81388
42,81639
42,54287
43,81561
43,82039
43,81526
43,81869
44,81476
44,81288
45,81889
45,81642
45,82039
45,81526
45,73757
45,81887
45,81421
45,81487
45,81296
45,78839
45,81392
45,81726
45,81869
46,81889
46,81421
50,81430
50,82062
50,73757
50,81968
50,81385
52,81476
52,81988
53,81421
55,81356
57,81430
57,81865
57,81421
60,82039
60,81490
60,81407
60,81326
60,51863
60,78350
60,78839
60,81934
64,81889
64,81421
64,55665
65,81869
66,81430
67,1123
67,81356
68,46099
69,81477
69,82044
69,81560
69,81354
70,81421
71,81430
73,81560
73,81448
81,81421
81,81356
83,81430
84,81421
84,81836
87,81421
90,81430
91,81421
91,81296
91,81337
91,81356
96,81430
97,82039
98,81756
98,81515
98,81445
98,81421
98,81661
102,81430
103,4460
103,81430
103,81863
103,78839
103,81356
104,1123
104,81551
104,81421
105,81476
105,39666
107,81889
107,81430
107,78008
107,55665
108,81356
110,81421
112,81421
112,55665
112,81869
113,81430
113,81421
115,81430
116,81869
117,72073
117,81430
117,81421
117,81407
118,81430
119,81889
119,81430
119,55665
119,81812
120,81421
122,81421
122,81709
126,81421
128,82039
128,81526
128,81421
128,81914
128,78839
128,81386
128,81802
131,81869
132,81564
132,81430
133,81476
133,81421
135,81780
135,81642
135,81903
135,81296
135,81386
135,81307
136,81430
136,81421
137,81430
137,81407
138,81430
141,81430
142,81628
142,81626
142,81526
142,73757
142,81288
142,81421
142,81587
142,82032
142,78839
144,81394
144,81453
144,81613
144,81306
144,81356
145,81430
147,81430
147,81726
149,81296
150,81889
150,81988
150,81356
150,81869
151,81430
151,81526
151,81869
155,81430
155,81782
155,81682
155,81392
161,81889
162,81776
162,81476
162,25303
163,81561
164,81430
165,81274
165,81856
165,81734
165,81421
166,81430
167,81430
167,81887
167,81421
168,81430
171,81707
171,81903
171,81296
171,81988
172,81476
172,81889
172,81887
172,81421
172,81296
172,81869
173,81430
178,81560
178,81661
179,75201
179,81545
179,81288
179,81421
179,81950
182,81430
183,81262
183,81378
183,81605
183,1123
183,81648
183,81476
185,81865
186,81677
186,81356
190,81904
190,81642
190,82039
190,81812
193,81430
193,81526
194,1123
194,81889
194,81430
194,81898
194,82061
194,82039
194,81421
194,81450
194,81407
194,81296
194,81864
194,81726
194,81465
194,81869
198,81421
199,81430
199,81561
199,81869
202,81476
202,75201
202,81430
202,46099
202,82039
202,81421
203,81476
203,81564
203,81301
203,81501
203,81296
203,52168
203,81864
203,81783
205,81561
205,82039
205,81487
205,81918
205,81836
205,81869
206,81421
207,81430
208,81430
210,81476
211,81263
211,81311
211,81328
211,81421
211,81450
214,81394
214,81476
214,81620
214,81889
214,81453
214,82062
214,81613
214,82039
214,81306
214,81894
214,81421
214,81296
214,81828
214,51863
214,81982
214,81345
214,81798
214,81356
214,81918
214,81869
214,81641
217,81430
217,82023
218,81430
218,50694
218,81869
219,81476
219,81709
219,81347
219,81735
220,81421
221,81430
221,77085
221,81421
221,82035
223,81430
223,81383
223,81774
225,81421
225,81450
226,81476
226,81430
226,81526
226,81421
226,81356
226,81354
229,81430
234,82003
234,81344
234,81356
235,81476
235,81430
235,81869
236,81430
237,81430
237,81526
237,81869
238,81889
242,81558
242,81560
243,81476
243,81421
247,81430
248,81421
248,50694
248,81726
251,81430
252,81421
257,81430
257,81682
257,81526
257,81887
257,81968
257,81726
257,81869
258,75201
258,81296
258,81356
259,81421
261,55665
262,81430
263,81430
263,82000
264,81889
264,81407
265,81430
265,81421
266,81476
266,81430
266,81421
267,46099
267,81421
268,81918
269,81430
269,81836
270,81476
270,81430
270,81561
270,81421
270,81869
275,81430
276,81889
276,81561
276,82039
276,82054
276,81421
276,81296
276,55665
276,81356
276,81918
276,81869
277,81476
277,82045
277,26581
277,82039
277,81421
278,81476
278,75201
278,81415
278,81493
278,78839
279,81430
281,81476
283,82000
283,39666
287,81526
287,81421
294,81421
294,78839
295,81421
296,81430
296,81726
