"cloud","company_id"
PaaS,5
PaaS,7
PaaS,9
SaaS,28
PaaS,105
IaaS,116
IaaS,172
PaaS,172
IaaS,199
SaaS,199
PaaS,199
IaaS,270
PaaS,270
SaaS,276
IaaS,303
IaaS,308
SaaS,308
PaaS,308
Other Cloud: Hybrid/Private/On-prem virtualization,311
IaaS,326
PaaS,326
PaaS,351
IaaS,374
SaaS,374
IaaS,379
PaaS,379
PaaS,391
IaaS,401
PaaS,401
SaaS,421
SaaS,433
PaaS,435
SaaS,440
IaaS,455
PaaS,455
IaaS,456
PaaS,456
IaaS,467
PaaS,467
IaaS,473
SaaS,473
IaaS,490
IaaS,494
PaaS,494
PaaS,497
SaaS,503
SaaS,512
PaaS,512
SaaS,532
PaaS,535
SaaS,544
IaaS,569
PaaS,569
PaaS,573
SaaS,574
IaaS,575
PaaS,576
IaaS,578
PaaS,578
SaaS,608
PaaS,608
IaaS,626
IaaS,631
SaaS,631
PaaS,631
PaaS,658
PaaS,664
PaaS,668
SaaS,683
SaaS,690
PaaS,690
SaaS,726
IaaS,738
SaaS,738
PaaS,738
SaaS,758
SaaS,790
IaaS,796
PaaS,796
PaaS,798
SaaS,825
IaaS,826
PaaS,826
IaaS,855
IaaS,905
SaaS,908
IaaS,944
SaaS,944
PaaS,944
SaaS,945
SaaS,985
PaaS,985
SaaS,990
SaaS,1019
PaaS,1019
IaaS,1028
SaaS,1046
SaaS,1065
PaaS,1066
IaaS,1067
SaaS,1067
PaaS,1067
SaaS,1069
SaaS,1070
SaaS,1091
SaaS,1107
SaaS,1128
SaaS,1130
IaaS,1136
SaaS,1146
IaaS,1157
SaaS,1159
SaaS,1162
IaaS,1166
SaaS,1166
PaaS,1173
IaaS,1195
IaaS,1205
SaaS,1205
IaaS,1224
PaaS,1224
SaaS,1232
PaaS,1233
IaaS,1234
PaaS,1234
SaaS,1306
IaaS,1344
SaaS,1344
PaaS,1344
IaaS,1353
SaaS,1353
PaaS,1353
SaaS,1354
PaaS,1354
SaaS,1370
SaaS,1372
IaaS,1381
SaaS,1381
PaaS,1381
IaaS,1412
PaaS,1412
IaaS,1422
PaaS,1428
SaaS,1451
IaaS,1454
PaaS,1454
IaaS,1464
PaaS,1464
Other Cloud: Hybrid/Private/On-prem virtualization,1497
SaaS,1501
SaaS,1504
SaaS,1511
PaaS,1513
IaaS,1516
SaaS,1525
SaaS,1537
IaaS,1539
SaaS,1539
PaaS,1539
IaaS,1591
PaaS,1591
SaaS,1604
SaaS,1606
PaaS,1616
SaaS,1637
IaaS,1638
PaaS,1638
IaaS,1668
SaaS,1668
SaaS,1675
IaaS,1683
SaaS,1683
PaaS,1683
PaaS,1717
SaaS,1731
SaaS,1744
SaaS,1756
SaaS,1766
SaaS,1815
IaaS,1864
IaaS,1890
SaaS,1935
SaaS,1952
IaaS,1974
SaaS,1974
IaaS,1980
SaaS,1980
SaaS,2003
SaaS,2006
IaaS,2008
PaaS,2008
IaaS,2015
PaaS,2015
IaaS,2030
IaaS,2061
PaaS,2061
SaaS,2076
PaaS,2076
PaaS,2077
SaaS,2086
PaaS,2086
IaaS,2111
PaaS,2111
SaaS,2140
SaaS,2149
PaaS,2149
PaaS,2150
IaaS,2151
PaaS,2151
SaaS,2196
PaaS,2213
IaaS,2215
SaaS,2215
PaaS,2215
IaaS,2220
PaaS,2220
IaaS,2266
SaaS,2266
PaaS,2266
SaaS,2287
SaaS,2299
SaaS,2343
SaaS,2350
IaaS,2354
SaaS,2397
SaaS,2405
PaaS,2408
SaaS,2416
IaaS,2427
PaaS,2427
Other Cloud: Hybrid/Private/On-prem virtualization,2451
SaaS,2453
PaaS,2465
SaaS,2466
IaaS,2501
IaaS,2504
SaaS,2504
PaaS,2513
IaaS,2552
SaaS,2552
PaaS,2552
SaaS,2568
SaaS,2590
PaaS,2590
IaaS,2598
PaaS,2598
SaaS,2603
IaaS,2623
PaaS,2623
PaaS,2635
PaaS,2657
SaaS,2674
IaaS,2688
IaaS,2732
SaaS,2732
PaaS,2732
IaaS,2733
SaaS,2733
PaaS,2733
SaaS,2783
IaaS,2786
PaaS,2786
IaaS,2789
PaaS,2789
PaaS,2797
PaaS,2799
PaaS,2800
SaaS,2801
IaaS,2802
PaaS,2802
PaaS,2807
IaaS,2809
IaaS,2810
SaaS,2814
IaaS,2880
SaaS,2895
IaaS,2922
SaaS,2922
PaaS,2922
IaaS,2929
IaaS,2944
SaaS,2944
SaaS,2953
PaaS,2953
SaaS,2959
IaaS,2974
PaaS,2974
SaaS,2998
SaaS,3006
PaaS,3010
PaaS,3045
SaaS,3064
IaaS,3066
SaaS,3066
PaaS,3066
IaaS,3070
PaaS,3070
IaaS,3076
SaaS,3076
PaaS,3076
IaaS,3079
PaaS,3079
PaaS,3082
