"third_platform_category","third_platform_detail","company_id"
Pillars,Social,1
Innovation Accelerators,AR/VR,4
Pillars,Social,5
Innovation Accelerators,Internet of Things (IoT),5
Innovation Accelerators,Blockchain,5
Pillars,Social,9
Pillars,Social,19
Innovation Accelerators,Next Generation Security,19
Innovation Accelerators,AR/VR,19
Innovation Accelerators,Blockchain,19
Pillars,Social,23
Pillars,Social,25
Innovation Accelerators,Blockchain,25
Pillars,Social,28
Pillars,Social,32
Innovation Accelerators,Next Generation Security,36
Innovation Accelerators,Blockchain,37
Pillars,Social,40
Innovation Accelerators,Blockchain,50
Pillars,Social,57
Innovation Accelerators,"3D Printing",60
Pillars,Social,65
Pillars,Social,66
Pillars,Social,83
Pillars,Social,90
Innovation Accelerators,Robotics,90
Innovation Accelerators,Next Generation Security,91
Pillars,Social,102
Innovation Accelerators,"3D Printing",104
Pillars,Social,107
Innovation Accelerators,Next Generation Security,107
Innovation Accelerators,Artificial Intelligence Systems,107
Innovation Accelerators,Artificial Intelligence Systems,117
Pillars,Social,118
Innovation Accelerators,Robotics,128
Pillars,Social,132
Innovation Accelerators,Robotics,133
Pillars,Social,136
Pillars,Social,141
Pillars,Social,145
Pillars,Social,151
Pillars,Social,161
Pillars,Social,167
Pillars,Social,168
Pillars,Social,172
Innovation Accelerators,Internet of Things (IoT),172
Innovation Accelerators,"3D Printing",172
Innovation Accelerators,Robotics,178
Pillars,Social,182
Pillars,Social,193
Innovation Accelerators,Next Generation Security,194
Pillars,Social,199
Innovation Accelerators,Internet of Things (IoT),199
Pillars,Social,207
Pillars,Social,218
Innovation Accelerators,Artificial Intelligence Systems,223
Pillars,Social,226
Pillars,Social,229
Pillars,Social,235
Pillars,Social,236
Pillars,Social,237
Pillars,Social,247
Pillars,Social,257
Innovation Accelerators,Internet of Things (IoT),257
Pillars,Social,262
Pillars,Social,265
Pillars,Social,270
Pillars,Social,275
Innovation Accelerators,Internet of Things (IoT),275
Pillars,Social,276
Pillars,Social,277
Innovation Accelerators,Internet of Things (IoT),277
Innovation Accelerators,AR/VR,277
Pillars,Social,279
Pillars,Social,281
Innovation Accelerators,AR/VR,294
Pillars,Social,296
Pillars,Social,300
Innovation Accelerators,Internet of Things (IoT),300
Innovation Accelerators,"3D Printing",302
Innovation Accelerators,"3D Printing",303
Pillars,Social,307
Pillars,Social,308
Pillars,Social,317
Innovation Accelerators,"3D Printing",320
Pillars,Social,326
Innovation Accelerators,Artificial Intelligence Systems,328
Innovation Accelerators,"3D Printing",330
Pillars,Social,331
Pillars,Social,339
Innovation Accelerators,AR/VR,345
Pillars,Social,348
Innovation Accelerators,Internet of Things (IoT),356
Innovation Accelerators,Internet of Things (IoT),357
Innovation Accelerators,Blockchain,367
Innovation Accelerators,Internet of Things (IoT),370
Pillars,Social,374
Pillars,Social,379
Innovation Accelerators,Next Generation Security,380
Innovation Accelerators,AR/VR,384
Pillars,Social,389
Pillars,Social,390
Pillars,Social,391
Innovation Accelerators,Internet of Things (IoT),391
Innovation Accelerators,Blockchain,391
Pillars,Social,393
Pillars,Social,394
Pillars,Social,397
Pillars,Social,398
Innovation Accelerators,AR/VR,423
Pillars,Social,425
Pillars,Social,427
Pillars,Social,432
Pillars,Social,435
Innovation Accelerators,Internet of Things (IoT),435
Pillars,Social,440
Pillars,Social,442
Pillars,Social,446
Pillars,Social,447
Pillars,Social,452
Pillars,Social,456
Pillars,Social,466
Innovation Accelerators,Next Generation Security,467
Innovation Accelerators,Next Generation Security,472
Pillars,Social,473
Pillars,Social,475
Innovation Accelerators,Internet of Things (IoT),475
Innovation Accelerators,Blockchain,475
Pillars,Social,479
Pillars,Social,485
Pillars,Social,486
Innovation Accelerators,Artificial Intelligence Systems,488
Pillars,Social,490
Innovation Accelerators,Internet of Things (IoT),490
Innovation Accelerators,Artificial Intelligence Systems,493
Pillars,Social,494
Innovation Accelerators,Next Generation Security,494
Pillars,Social,497
Pillars,Social,512
Pillars,Social,513
Innovation Accelerators,Next Generation Security,522
Pillars,Social,523
Innovation Accelerators,Next Generation Security,526
Pillars,Social,529
Innovation Accelerators,Internet of Things (IoT),529
Pillars,Social,532
Pillars,Social,535
Pillars,Social,539
Pillars,Social,544
Innovation Accelerators,Robotics,547
Innovation Accelerators,Blockchain,547
Pillars,Social,550
Pillars,Social,551
Pillars,Social,553
Pillars,Social,554
Pillars,Social,563
Pillars,Social,566
Pillars,Social,569
Pillars,Social,570
Pillars,Social,573
Pillars,Social,574
Innovation Accelerators,Next Generation Security,574
Pillars,Social,575
Pillars,Social,576
Pillars,Social,582
Pillars,Social,590
Pillars,Social,591
Pillars,Social,602
Pillars,Social,608
Innovation Accelerators,Robotics,608
Pillars,Social,621
Pillars,Social,626
Innovation Accelerators,Internet of Things (IoT),627
Pillars,Social,629
Pillars,Social,630
Pillars,Social,631
Innovation Accelerators,Blockchain,634
Pillars,Social,638
Pillars,Social,639
Innovation Accelerators,Internet of Things (IoT),639
Pillars,Social,645
Pillars,Social,651
Pillars,Social,654
Pillars,Social,657
Pillars,Social,664
Innovation Accelerators,Robotics,664
Innovation Accelerators,Blockchain,664
Pillars,Social,668
Pillars,Social,671
Pillars,Social,673
Pillars,Social,675
Pillars,Social,682
Pillars,Social,690
Innovation Accelerators,Internet of Things (IoT),690
Pillars,Social,700
Innovation Accelerators,Internet of Things (IoT),702
Innovation Accelerators,Artificial Intelligence Systems,711
Innovation Accelerators,Next Generation Security,712
Pillars,Social,716
Pillars,Social,723
Pillars,Social,725
Pillars,Social,731
Pillars,Social,733
Pillars,Social,738
Innovation Accelerators,Internet of Things (IoT),742
Innovation Accelerators,Robotics,742
Innovation Accelerators,Artificial Intelligence Systems,742
Innovation Accelerators,Internet of Things (IoT),745
Innovation Accelerators,Blockchain,745
Pillars,Social,772
Pillars,Social,774
Pillars,Social,777
Pillars,Social,783
Pillars,Social,784
Innovation Accelerators,Next Generation Security,788
Pillars,Social,791
Pillars,Social,809
Pillars,Social,826
Innovation Accelerators,Next Generation Security,826
Innovation Accelerators,"3D Printing",853
Innovation Accelerators,Robotics,854
Pillars,Social,857
Pillars,Social,859
Innovation Accelerators,Next Generation Security,860
Innovation Accelerators,Next Generation Security,865
Pillars,Social,868
Pillars,Social,875
Innovation Accelerators,Internet of Things (IoT),883
Pillars,Social,885
Pillars,Big Data and Analytics,908
Pillars,Social,910
Innovation Accelerators,Artificial Intelligence Systems,916
Pillars,Social,926
Pillars,Social,931
Pillars,Social,937
Pillars,Social,944
Innovation Accelerators,Internet of Things (IoT),944
Innovation Accelerators,Robotics,944
Innovation Accelerators,Blockchain,944
Pillars,Social,945
Innovation Accelerators,Blockchain,946
Pillars,Social,958
Pillars,Social,959
Pillars,Social,963
Pillars,Social,969
Innovation Accelerators,Artificial Intelligence Systems,977
Pillars,Social,984
Pillars,Social,985
Pillars,Social,989
Pillars,Social,996
Pillars,Social,1014
Innovation Accelerators,AR/VR,1014
Pillars,Social,1018
Pillars,Social,1027
Innovation Accelerators,Artificial Intelligence Systems,1029
Pillars,Social,1031
Pillars,Social,1032
Innovation Accelerators,Robotics,1037
Innovation Accelerators,Blockchain,1039
Pillars,Big Data and Analytics,1042
Pillars,Social,1049
Innovation Accelerators,Internet of Things (IoT),1049
Innovation Accelerators,Artificial Intelligence Systems,1049
Pillars,Social,1056
Pillars,Social,1061
Pillars,Social,1065
Pillars,Social,1066
Innovation Accelerators,Internet of Things (IoT),1066
Innovation Accelerators,Internet of Things (IoT),1067
Innovation Accelerators,Blockchain,1067
Pillars,Social,1083
Innovation Accelerators,Internet of Things (IoT),1094
Innovation Accelerators,AR/VR,1104
Innovation Accelerators,AR/VR,1109
Pillars,Social,1113
Pillars,Social,1114
Pillars,Social,1117
Innovation Accelerators,Internet of Things (IoT),1117
Innovation Accelerators,Artificial Intelligence Systems,1118
Pillars,Social,1128
Pillars,Social,1130
Innovation Accelerators,Internet of Things (IoT),1130
Innovation Accelerators,Artificial Intelligence Systems,1130
Pillars,Social,1132
Innovation Accelerators,Internet of Things (IoT),1132
Innovation Accelerators,Robotics,1132
Innovation Accelerators,Internet of Things (IoT),1136
Pillars,Social,1157
Pillars,Social,1158
Pillars,Social,1159
Innovation Accelerators,Next Generation Security,1159
Innovation Accelerators,Blockchain,1159
Innovation Accelerators,Artificial Intelligence Systems,1161
Pillars,Social,1162
Innovation Accelerators,Internet of Things (IoT),1162
Pillars,Social,1165
Pillars,Social,1166
Innovation Accelerators,Internet of Things (IoT),1166
Pillars,Social,1173
Pillars,Social,1182
Innovation Accelerators,Artificial Intelligence Systems,1183
Innovation Accelerators,Artificial Intelligence Systems,1184
Pillars,Social,1195
Innovation Accelerators,Internet of Things (IoT),1195
Innovation Accelerators,AR/VR,1195
Pillars,Social,1197
Pillars,Social,1205
Innovation Accelerators,Internet of Things (IoT),1205
Innovation Accelerators,Blockchain,1205
Pillars,Social,1226
Pillars,Social,1234
Innovation Accelerators,Internet of Things (IoT),1235
Innovation Accelerators,Internet of Things (IoT),1241
Innovation Accelerators,Artificial Intelligence Systems,1250
Innovation Accelerators,Next Generation Security,1260
Pillars,Social,1267
Pillars,Social,1272
Pillars,Social,1283
Innovation Accelerators,Robotics,1288
Pillars,Social,1294
Pillars,Social,1304
Pillars,Social,1309
Pillars,Social,1315
Pillars,Social,1324
Pillars,Social,1331
Innovation Accelerators,Internet of Things (IoT),1331
Pillars,Social,1333
Innovation Accelerators,Next Generation Security,1333
Pillars,Social,1348
Innovation Accelerators,Artificial Intelligence Systems,1351
Pillars,Social,1353
Innovation Accelerators,Internet of Things (IoT),1353
Pillars,Social,1362
Pillars,Social,1367
Innovation Accelerators,Next Generation Security,1367
Pillars,Social,1370
Innovation Accelerators,Internet of Things (IoT),1371
Pillars,Social,1372
Innovation Accelerators,Internet of Things (IoT),1372
Innovation Accelerators,Blockchain,1372
Pillars,Social,1378
Pillars,Social,1381
Innovation Accelerators,Blockchain,1383
Pillars,Social,1389
